"Día","Hora","Audio","Video","tipo de video","Grupo","Individuo","Experimento","Color","Tiempo de vuelo","Anotaciones","Video camara 1","Video camara 3","Video camara 5","Video camara respaldo","year","year.audio"
2020-01-18,0.134722222222222,"50","55","experimento","3","982126051278564","vuelo solo","no aplica","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp55_cam1_2020-1-18","UCR-MPI_exp55_cam3_2020-1-18","UCR-MPI_exp55_cam5_2020-1-18",NA,"2020","2020-50"
2020-01-18,0.140972222222222,"51","56","experimento","3","982126052945896","vuelo solo","no aplica","0.0833333333333333","recapturado y experimento repetido","UCR-MPI_exp56_cam1_2020-1-18","UCR-MPI_exp56_cam3_2020-1-18","UCR-MPI_exp56_cam5_2020-1-18",NA,"2020","2020-51"
2020-01-18,0.108333333333333,"46","51","experimento","9","900200000279415","vuelo grupal/enmascarando busqueda","verde","0.0833333333333333",NA,"UCR-MPI_exp51_cam1_2020-1-18","UCR-MPI_exp51_cam3_2020-1-18","UCR-MPI_exp51_cam5_2020-1-18",NA,"2020","2020-46"
2020-01-18,0.108333333333333,"46","51","experimento","9","900200000279519","vuelo grupal/enmascarando busqueda","amarillo","0.0833333333333333","Video 48 y 49 (y audio 43 y 44) se interrumpieron por falta de vuelo de murcis","UCR-MPI_exp51_cam1_2020-1-18","UCR-MPI_exp51_cam3_2020-1-18","UCR-MPI_exp51_cam5_2020-1-18",NA,"2020","2020-46"
2020-01-18,0.108333333333333,"46","51","experimento","9","982126051278549","vuelo grupal/enmascarando busqueda","anaranjado","0.0833333333333333",NA,"UCR-MPI_exp51_cam1_2020-1-18","UCR-MPI_exp51_cam3_2020-1-18","UCR-MPI_exp51_cam5_2020-1-18",NA,"2020","2020-46"
2020-01-18,0.108333333333333,"46","51","experimento","9","982126058484290","vuelo grupal/enmascarando busqueda","rosado","0.0833333333333333",NA,"UCR-MPI_exp51_cam1_2020-1-18","UCR-MPI_exp51_cam3_2020-1-18","UCR-MPI_exp51_cam5_2020-1-18",NA,"2020","2020-46"
2020-01-18,0.100694444444444,"45","50","experimento","9","900200000279415","vuelo grupal/sin sonido","verde","0.0833333333333333",NA,"UCR-MPI_exp50_cam1_2020-1-18","UCR-MPI_exp50_cam3_2020-1-18","UCR-MPI_exp50_cam5_2020-1-18",NA,"2020","2020-45"
2020-01-18,0.100694444444444,"45","50","experimento","9","900200000279519","vuelo grupal/sin sonido","amarillo","0.0833333333333333","video 48/ audio 43 fue detenido por que no volaron","UCR-MPI_exp50_cam1_2020-1-18","UCR-MPI_exp50_cam3_2020-1-18","UCR-MPI_exp50_cam5_2020-1-18",NA,"2020","2020-45"
2020-01-18,0.100694444444444,"45","50","experimento","9","982126051278549","vuelo grupal/sin sonido","anaranjado","0.0833333333333333",NA,"UCR-MPI_exp50_cam1_2020-1-18","UCR-MPI_exp50_cam3_2020-1-18","UCR-MPI_exp50_cam5_2020-1-18",NA,"2020","2020-45"
2020-01-18,0.100694444444444,"45","50","experimento","9","982126058484290","vuelo grupal/sin sonido","rosado","0.0833333333333333",NA,"UCR-MPI_exp50_cam1_2020-1-18","UCR-MPI_exp50_cam3_2020-1-18","UCR-MPI_exp50_cam5_2020-1-18",NA,"2020","2020-45"
