"indiv.1","indiv.2","mean.overlap","mean.distance","group","type","group.size","experiment.type"
"982000359237615","982126052945840",0.0401094430185685,2.20495739641411,"grupo mixto 4","vuelo grupos mixtos",3,"Artificial"
"982000359237615","982126052945865",0.0988737382838412,2.89579235271934,"grupo mixto 4","vuelo grupos mixtos",3,"Artificial"
"982126052945840","982126052945865",0.105923965226527,1.78772845266737,"grupo mixto 4","vuelo grupos mixtos",3,"Artificial"
"982126052945896","982126058484256",0.459863027672063,1.13592551855709,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"982126052945896","982126058484299",0.357830084701559,1.39304731969338,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"982126052945896","982126058484321",0.257014406399044,2.02599586501145,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"982126058484256","982126058484299",0.290118989177465,1.71026750127128,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"982126058484256","982126058484321",0.144353871578927,2.45667741310132,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"982126058484299","982126058484321",0.439104365348653,0.878567537135697,"grupo mixto 5","vuelo grupos mixtos",4,"Artificial"
"900200000279820","982126051278475",0.154135299649821,2.57670284593376,"GP11 (Grupo 4)","vuelo grupal/sin sonido",3,"Regular"
"900200000279820","982126058484339",0.101356845215416,2.68268497409692,"GP11 (Grupo 4)","vuelo grupal/sin sonido",3,"Regular"
"982126051278475","982126058484339",0.198181309842553,2.44607864174659,"GP11 (Grupo 4)","vuelo grupal/sin sonido",3,"Regular"
"982126057846152","982126057846167",0.0210292395142004,2.85893835918639,"MP257 (7/24/20/?)","vuelo grupal/sin sonido",2,"Regular"
"982126051278521","982126058484263",0.355338511024792,1.26219168755161,"G9","vuelo grupal/sin sonido",3,"Regular"
"982126051278521","982126058484300",0.0988891470997834,2.27154394915418,"G9","vuelo grupal/sin sonido",3,"Regular"
"982126058484263","982126058484300",0.13440477361088,2.95572475484414,"G9","vuelo grupal/sin sonido",3,"Regular"
"982126051278475","982126051278551",0.137079158978042,3.61729855210464,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278475","982126057846152",0.454690671249699,0.91773436636791,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278475","982126058484263",0.461266804434988,0.915074656915404,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278475","982126058484290",0.24961732126909,1.66303749769559,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278551","982126057846152",0.0299660007193871,3.92327214415553,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278551","982126058484263",0.050545985468535,3.99362767316852,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278551","982126058484290",0.206648588864858,2.60975937922542,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126057846152","982126058484263",0.336439793878356,0.616143536289321,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126057846152","982126058484290",0.290384477247502,1.55875531162042,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126058484263","982126058484290",0.339464989858513,1.70783208342532,"GM1","vuelo grupos mixtos",5,"Artificial"
"982126051278549","982126057846221",0.535643656670556,1.12315224874936,"GM3","vuelo grupos mixtos",2,"Artificial"
"900200000279820","982126051278521",0.341703768154218,1.41683344536053,"GM4","vuelo grupos mixtos",4,"Artificial"
"900200000279820","982126057846248",0.293076443723272,1.54689463297467,"GM4","vuelo grupos mixtos",4,"Artificial"
"900200000279820","982126058484267",0.371930534755105,1.46331576493829,"GM4","vuelo grupos mixtos",4,"Artificial"
"982126051278521","982126057846248",0.141864932696779,1.95390068635882,"GM4","vuelo grupos mixtos",4,"Artificial"
"982126051278521","982126058484267",0.248693270782881,1.4652153985866,"GM4","vuelo grupos mixtos",4,"Artificial"
"982126057846248","982126058484267",0.47590979916084,0.774803721466964,"GM4","vuelo grupos mixtos",4,"Artificial"
"982126057845060","982126057846217",3.87145445723403e-05,3.93646704928126,"GP12","vuelo grupal/sin sonido",3,"Regular"
"982126057845060","982126057846235",0.00448193079257926,4.41306698483159,"GP12","vuelo grupal/sin sonido",3,"Regular"
"982126057846217","982126057846235",0.196797951388273,1.86943895890547,"GP12","vuelo grupal/sin sonido",3,"Regular"
"982126057846187","982126057846235",0.0181274735731214,3.63925163612939,"GM5","vuelo grupos mixtos",3,"Artificial"
"982126057846187","982126058484340",0.237729597317043,1.332087181473,"GM5","vuelo grupos mixtos",3,"Artificial"
"982126057846235","982126058484340",0.0117105947002123,2.54551333612277,"GM5","vuelo grupos mixtos",3,"Artificial"
"982126057846162","982126057846217",0.316375527749319,2.57288051553921,"GM6","vuelo grupos mixtos",2,"Artificial"
"982126057846201","982126057846225",0.0797568378340849,3.01269528595283,"GM9","vuelo grupos mixtos",2,"Artificial"
"900200000206430","982126051278540",0.0765039024088995,2.17415841721113,"S9","vuelo grupal/sin sonido",6,"Regular"
"900200000206430","982126052945921",0.0399013073821292,2.93724105115608,"S9","vuelo grupal/sin sonido",6,"Regular"
"900200000206430","982126058484318",0.331356027334021,0.919430652419942,"S9","vuelo grupal/sin sonido",6,"Regular"
"900200000206430","982126058844330",0.375896446268066,1.62981333323236,"S9","vuelo grupal/sin sonido",6,"Regular"
"900200000206430","982126957845238",0.485410104441062,1.08895182837171,"S9","vuelo grupal/sin sonido",6,"Regular"
"982126051278540","982126052945921",0.173677932087649,1.95775063175413,"S9","vuelo grupal/sin sonido",6,"Regular"
